listing_id,district,community,listing_type,property_type,bedrooms,bathrooms,size_sqm,price_aed,price_per_sqm_aed,furnished,amenities,latitude,longitude,listed_date,status,agency_type
LST-00025,Corniche,Corniche Residences,sale,apartment,1,1,77,1179000,15312,false,beach_access;central_ac;concierge;maids_room;pool;shared_garden,24.4854,54.35716,2025-10-14,available,private_owner
LST-00026,Al Zahiyah,Al Zahiyah Views,sale,apartment,2,3,130,1685000,12962,true,built_in_wardrobes;central_ac;kids_play_area;pool;security_24h;study,24.49126,54.35128,2025-07-11,available,developer_direct
LST-00027,Zayed City,Zayed City Views,rent,apartment,2,3,68,55000,809,true,concierge;ev_charger;maids_room;shared_garden,24.32417,54.54624,2025-08-14,available,brokerage
LST-00028,Al Khalidiyah,Al Khalidiyah Views,rent,apartment,4,4,71,78000,1099,true,built_in_wardrobes;shared_garden;study,24.46292,54.34668,2025-11-22,available,developer_direct
LST-00029,Corniche,Corniche Views,rent,apartment,4,4,106,97000,915,false,concierge;kids_play_area;smart_home,24.45617,54.33893,2026-01-22,available,brokerage
LST-00030,Al Ghadeer,Al Ghadeer Square,rent,apartment,4,5,105,69000,657,false,central_ac;maids_room;pool,24.30396,54.78997,2025-10-20,available,private_owner
LST-00031,Masdar City,Masdar City Towers,rent,apartment,3,2,126,81000,643,false,built_in_wardrobes;ev_charger;maids_room;security_24h;smart_home,24.43,54.61561,2026-02-25,under_offer,developer_direct
LST-00032,Al Reem Island,Al Reem Island Commons,rent,apartment,1,1,224,269000,1201,true,kids_play_area;maids_room,24.48105,54.39328,2026-03-25,available,brokerage
LST-00033,Al Khalidiyah,Al Khalidiyah Bay,rent,townhouse,5,5,326,343000,1052,true,gym;smart_home,24.45725,54.33342,2025-08-20,let,private_owner
LST-00034,Zayed City,Zayed City Bay,sale,apartment,1,1,62,621000,10016,false,balcony;built_in_wardrobes;central_ac;ev_charger;maids_room;study,24.32306,54.53782,2026-03-01,available,brokerage
LST-00035,Yas Island,Yas Island Square,sale,studio,0,1,49,619000,12633,true,beach_access;concierge;gym;smart_home,24.47839,54.58969,2026-01-16,available,brokerage
LST-00036,Mussafah,Mussafah Gardens,rent,townhouse,3,4,177,87000,492,false,beach_access;covered_parking;security_24h;study,24.35838,54.49784,2025-10-20,available,developer_direct
LST-00037,Al Bateen,Al Bateen Commons,rent,penthouse,5,4,520,614000,1181,false,balcony;kids_play_area;smart_home,24.43821,54.31947,2026-03-17,available,brokerage
LST-00038,Al Ghadeer,Al Ghadeer Residences,sale,townhouse,3,3,275,1939000,7051,true,built_in_wardrobes;concierge;kids_play_area;pool;security_24h;study,24.2859,54.77699,2026-02-02,sold,brokerage
LST-00039,Al Shamkha,Al Shamkha Square,rent,apartment,2,2,150,90000,600,true,balcony;beach_access;built_in_wardrobes;maids_room,24.33443,54.70564,2025-10-13,let,private_owner
LST-00040,Khalifa City,Khalifa City Commons,rent,villa,5,4,488,249000,510,true,built_in_wardrobes;central_ac,24.43516,54.57597,2026-01-19,available,developer_direct
LST-00041,Al Bateen,Al Bateen Gardens,rent,villa,3,4,300,339000,1130,true,balcony;central_ac;ev_charger;security_24h,24.46553,54.32494,2026-04-25,available,brokerage
LST-00042,Al Maqta,Al Maqta Bay,sale,villa,5,5,411,4176000,10161,true,central_ac;concierge;ev_charger;gym;shared_garden,24.38831,54.50406,2026-01-02,available,brokerage
LST-00043,Al Bateen,Al Bateen Residences,sale,townhouse,3,3,322,4234000,13149,true,concierge;covered_parking,24.46706,54.34785,2025-10-27,sold,brokerage
LST-00044,Mohammed Bin Zayed City,Mohammed Bin Zayed City Bay,rent,apartment,1,2,116,55000,474,true,gym;shared_garden;study,24.33569,54.535,2025-12-26,available,private_owner
LST-00045,Mussafah,Mussafah Residences,sale,apartment,4,4,169,895000,5296,true,beach_access;covered_parking;kids_play_area;security_24h;shared_garden,24.361,54.50932,2025-07-29,under_offer,brokerage
LST-00046,Al Khalidiyah,Al Khalidiyah Park,rent,studio,0,1,36,36000,1000,false,beach_access;kids_play_area;pool;security_24h;shared_garden;smart_home,24.47501,54.32819,2025-10-16,under_offer,brokerage
LST-00047,Al Maqta,Al Maqta Towers,sale,villa,3,3,323,3320000,10279,true,concierge;gym;kids_play_area;security_24h,24.3948,54.52945,2025-08-21,available,developer_direct
LST-00048,Mussafah,Mussafah Commons,rent,studio,0,1,44,23000,523,true,balcony;concierge;kids_play_area;shared_garden;smart_home;study,24.36579,54.49867,2025-12-14,available,private_owner
LST-00049,Al Zahiyah,Al Zahiyah Residences,sale,penthouse,4,5,307,4260000,13876,false,built_in_wardrobes;central_ac;smart_home,24.48533,54.35351,2025-11-21,available,private_owner
LST-00050,Al Maryah Island,Al Maryah Island Residences,rent,studio,0,1,49,52000,1061,false,built_in_wardrobes;ev_charger;gym;kids_play_area,24.51316,54.38395,2026-02-12,let,brokerage
LST-00051,Khalifa City,Khalifa City Bay,sale,studio,0,1,48,479000,9979,true,balcony;built_in_wardrobes;central_ac;maids_room;security_24h;shared_garden,24.40499,54.59117,2025-09-02,available,private_owner
LST-00052,Al Zahiyah,Al Zahiyah Square,rent,apartment,2,2,60,63000,1050,false,built_in_wardrobes;concierge,24.48147,54.36754,2026-01-27,available,private_owner
LST-00053,Al Shamkha,Al Shamkha Residences,rent,penthouse,4,4,410,418000,1020,true,balcony;built_in_wardrobes;maids_room;security_24h;shared_garden,24.33231,54.72535,2026-01-25,available,private_owner
LST-00054,Al Reef,Al Reef Towers,rent,apartment,2,1,64,40000,625,true,built_in_wardrobes;security_24h;shared_garden;smart_home;study,24.41709,54.68108,2025-10-22,available,brokerage
LST-00055,Al Bahia,Al Bahia Park,rent,studio,0,1,47,26000,553,true,covered_parking;gym,24.56313,54.64961,2025-10-12,available,brokerage
LST-00056,Al Bateen,Al Bateen Square,rent,studio,0,1,41,33000,805,true,concierge;ev_charger;security_24h,24.4676,54.3447,2025-09-22,let,brokerage
LST-00057,Al Raha Beach,Al Raha Beach Views,sale,studio,0,1,43,642000,14930,true,built_in_wardrobes;ev_charger,24.45582,54.60076,2025-08-21,available,brokerage
LST-00058,Khalifa City,Khalifa City Views,rent,townhouse,3,3,322,223000,693,true,built_in_wardrobes;central_ac;concierge;gym;smart_home;study,24.41556,54.59502,2025-10-25,let,private_owner
LST-00059,Al Reef,Al Reef Views,sale,townhouse,4,5,226,1564000,6920,true,balcony;beach_access;built_in_wardrobes;concierge;covered_parking;gym,24.43598,54.68604,2026-03-20,sold,private_owner
LST-00060,Zayed City,Zayed City Gardens,sale,apartment,1,1,123,1246000,10130,false,beach_access;covered_parking;gym;pool;study,24.32755,54.53875,2026-05-28,available,brokerage
LST-00061,Al Shamkha,Al Shamkha Quarter,rent,apartment,4,4,194,132000,680,true,beach_access;built_in_wardrobes;concierge;maids_room,24.34127,54.71447,2026-01-11,under_offer,brokerage
LST-00062,Al Bateen,Al Bateen Square,rent,apartment,2,2,155,225000,1452,true,beach_access;built_in_wardrobes;covered_parking;pool;security_24h,24.43429,54.33439,2026-04-26,available,developer_direct
LST-00063,Al Maryah Island,Al Maryah Island Square,sale,townhouse,3,3,182,4094000,22495,false,beach_access;central_ac;concierge;gym,24.50543,54.39725,2025-08-04,under_offer,brokerage
LST-00064,Al Zahiyah,Al Zahiyah Square,sale,apartment,1,1,157,2045000,13025,true,central_ac;gym;kids_play_area,24.49,54.36738,2026-04-14,available,developer_direct
LST-00065,Khalifa City,Khalifa City Commons,rent,penthouse,3,4,219,172000,785,true,built_in_wardrobes;security_24h,24.4138,54.59987,2025-08-07,available,developer_direct
LST-00066,Al Reem Island,Al Reem Island Commons,rent,villa,6,6,492,509000,1035,false,beach_access;ev_charger;study,24.50024,54.39326,2025-08-29,let,brokerage
LST-00067,Al Ghadeer,Al Ghadeer Gardens,rent,villa,5,5,605,407000,673,false,balcony;concierge;kids_play_area;smart_home,24.29443,54.78681,2025-09-08,under_offer,developer_direct
LST-00068,Al Raha Beach,Al Raha Beach Square,rent,apartment,2,1,166,197000,1187,false,balcony;central_ac;gym;pool,24.4625,54.59319,2025-10-24,available,developer_direct
LST-00069,Al Bahia,Al Bahia Bay,rent,apartment,2,2,96,49000,510,false,maids_room;security_24h;smart_home,24.5437,54.65942,2025-11-06,available,brokerage
LST-00070,Al Ghadeer,Al Ghadeer Park,rent,apartment,1,1,103,62000,602,true,built_in_wardrobes;ev_charger;kids_play_area;maids_room;smart_home,24.30012,54.77015,2025-11-09,available,developer_direct
LST-00071,Al Zahiyah,Al Zahiyah Heights,sale,townhouse,4,3,269,3526000,13108,true,beach_access;concierge;covered_parking;study,24.49279,54.35932,2025-07-26,available,brokerage
LST-00072,Mussafah,Mussafah Heights,rent,apartment,3,4,64,43000,672,false,built_in_wardrobes;central_ac;concierge;ev_charger;shared_garden;study,24.35431,54.49581,2026-03-07,available,developer_direct
LST-00073,Yas Island,Yas Island Commons,sale,apartment,3,4,188,2466000,13117,false,balcony;concierge;gym,24.49392,54.59883,2025-10-15,sold,brokerage
LST-00074,Masdar City,Masdar City Gardens,sale,studio,0,1,39,405000,10385,false,built_in_wardrobes;covered_parking;study,24.44313,54.60059,2026-05-04,under_offer,developer_direct
LST-00075,Al Khalidiyah,Al Khalidiyah Park,rent,villa,4,4,587,561000,956,false,balcony;covered_parking;ev_charger;kids_play_area;maids_room;shared_garden,24.47893,54.3419,2025-10-23,available,developer_direct
LST-00076,Al Zahiyah,Al Zahiyah Gardens,rent,apartment,4,3,84,72000,857,true,central_ac;gym,24.49889,54.37508,2025-09-29,available,brokerage
LST-00077,Al Reef,Al Reef Quarter,rent,apartment,4,3,87,59000,678,true,beach_access;built_in_wardrobes;central_ac;covered_parking;gym;kids_play_area,24.44518,54.71569,2025-11-16,available,brokerage
LST-00078,Mussafah,Mussafah Heights,rent,townhouse,4,5,218,125000,573,false,balcony;built_in_wardrobes;maids_room;smart_home;study,24.3675,54.49983,2026-03-09,available,brokerage
LST-00079,Saadiyat Island,Saadiyat Island Towers,sale,apartment,3,4,179,3050000,17039,true,concierge;kids_play_area;pool;smart_home;study,24.5426,54.42065,2025-12-20,under_offer,brokerage
LST-00080,Khalifa City,Khalifa City Commons,sale,apartment,4,5,105,1056000,10057,true,built_in_wardrobes;ev_charger;kids_play_area;security_24h;smart_home,24.41143,54.59839,2026-02-03,available,developer_direct
LST-00081,Al Maryah Island,Al Maryah Island Residences,rent,townhouse,3,3,358,515000,1439,true,security_24h;study,24.5133,54.3803,2026-02-06,let,brokerage
LST-00082,Al Raha Beach,Al Raha Beach Residences,rent,apartment,3,4,164,157000,957,false,central_ac;gym;maids_room;security_24h;smart_home;study,24.44989,54.62006,2026-05-04,under_offer,private_owner
LST-00083,Mohammed Bin Zayed City,Mohammed Bin Zayed City Bay,rent,penthouse,5,4,377,366000,971,true,balcony;beach_access;gym;pool,24.32892,54.54476,2025-12-29,available,brokerage
LST-00084,Al Maryah Island,Al Maryah Island Commons,sale,studio,0,1,42,1160000,27619,true,beach_access;concierge;kids_play_area,24.48807,54.38638,2025-12-16,available,developer_direct
LST-00085,Al Bahia,Al Bahia Park,sale,villa,5,5,672,6035000,8981,false,beach_access;pool;shared_garden,24.55136,54.67685,2026-03-05,available,brokerage
LST-00086,Zayed City,Zayed City Quarter,rent,apartment,1,1,74,85000,1149,false,covered_parking;maids_room;pool,24.33936,54.53521,2025-09-23,available,developer_direct
LST-00087,Al Zahiyah,Al Zahiyah Residences,sale,townhouse,5,5,183,2149000,11743,false,ev_charger;kids_play_area;shared_garden;smart_home;study,24.50519,54.36956,2026-01-18,under_offer,brokerage
LST-00088,Yas Island,Yas Island Heights,sale,townhouse,2,2,170,2336000,13741,false,central_ac;pool;smart_home,24.50029,54.61285,2025-10-30,available,brokerage
LST-00089,Khalifa City,Khalifa City Park,sale,studio,0,1,41,270000,6585,true,built_in_wardrobes;concierge;ev_charger;pool;security_24h,24.42478,54.59607,2025-07-11,sold,private_owner
LST-00090,Al Ghadeer,Al Ghadeer Park,rent,penthouse,3,4,480,377000,785,false,kids_play_area;smart_home,24.28692,54.76309,2025-12-13,available,developer_direct
LST-00091,Al Raha Beach,Al Raha Beach Heights,rent,apartment,1,1,67,73000,1090,false,concierge;covered_parking;gym;kids_play_area;maids_room,24.45241,54.59624,2025-06-22,under_offer,brokerage
LST-00092,Al Maryah Island,Al Maryah Island Commons,rent,apartment,4,4,204,273000,1338,true,built_in_wardrobes;gym;security_24h;study,24.48262,54.40163,2025-09-18,let,developer_direct
LST-00093,Al Reem Island,Al Reem Island Towers,sale,apartment,1,1,126,1447000,11484,true,concierge;security_24h,24.47798,54.42132,2026-03-02,available,developer_direct
LST-00094,Al Bateen,Al Bateen Gardens,rent,apartment,4,4,115,121000,1052,true,balcony;beach_access;built_in_wardrobes;central_ac;maids_room;shared_garden,24.43658,54.33106,2025-09-27,under_offer,developer_direct
LST-00095,Al Ghadeer,Al Ghadeer Park,rent,apartment,4,3,106,61000,575,false,balcony;gym;maids_room;smart_home;study,24.31298,54.79387,2026-03-11,under_offer,developer_direct
LST-00096,Saadiyat Island,Saadiyat Island Towers,sale,apartment,2,2,215,3161000,14702,false,balcony;ev_charger;security_24h;smart_home,24.55158,54.4303,2025-12-01,available,private_owner
LST-00097,Al Shamkha,Al Shamkha Park,rent,studio,0,1,29,21000,724,true,covered_parking;gym;pool;shared_garden,24.35333,54.7361,2026-04-05,under_offer,developer_direct
LST-00098,Corniche,Corniche Gardens,rent,villa,6,5,620,715000,1153,false,covered_parking;pool,24.46446,54.34474,2025-08-14,under_offer,private_owner
LST-00099,Al Ghadeer,Al Ghadeer Residences,rent,villa,5,5,310,208000,671,false,ev_charger;gym;kids_play_area;maids_room;security_24h;smart_home,24.29941,54.76951,2026-01-23,available,brokerage
LST-00100,Al Zahiyah,Al Zahiyah Towers,rent,apartment,2,2,134,96000,716,true,beach_access;concierge;covered_parking;security_24h;smart_home,24.5018,54.38191,2025-06-07,let,brokerage
LST-00101,Zayed City,Zayed City Park,rent,townhouse,3,3,192,147000,766,true,gym;kids_play_area,24.32683,54.54292,2026-04-24,available,developer_direct
LST-00102,Al Reef,Al Reef Bay,rent,apartment,4,3,91,73000,802,true,central_ac;concierge;covered_parking;gym;pool,24.4138,54.6993,2026-03-31,available,developer_direct
LST-00103,Al Bahia,Al Bahia Bay,rent,townhouse,3,3,343,316000,921,false,balcony;built_in_wardrobes;gym;maids_room;security_24h;smart_home,24.54321,54.67059,2025-06-20,let,developer_direct
LST-00104,Masdar City,Masdar City Commons,rent,studio,0,1,38,33000,868,false,beach_access;concierge;pool,24.42403,54.62936,2025-11-10,let,brokerage
LST-00105,Al Ghadeer,Al Ghadeer Commons,rent,apartment,2,2,182,115000,632,true,beach_access;central_ac;concierge;covered_parking;gym;security_24h,24.2823,54.76453,2025-11-07,under_offer,brokerage
LST-00106,Al Ghadeer,Al Ghadeer Square,sale,villa,5,4,373,3238000,8681,true,built_in_wardrobes;shared_garden,24.30386,54.77296,2025-12-27,sold,brokerage
LST-00107,Danet Abu Dhabi,Danet Abu Dhabi Quarter,rent,townhouse,4,3,195,170000,872,true,covered_parking;kids_play_area;maids_room;security_24h,24.42257,54.38098,2025-06-11,available,brokerage
LST-00108,Al Bateen,Al Bateen Towers,sale,townhouse,4,4,348,5839000,16779,true,built_in_wardrobes;shared_garden,24.46634,54.32373,2026-03-02,sold,brokerage
LST-00109,Mussafah,Mussafah Towers,rent,studio,0,1,34,15000,441,true,kids_play_area;security_24h,24.33545,54.50509,2025-06-28,available,developer_direct
LST-00110,Mohammed Bin Zayed City,Mohammed Bin Zayed City Views,rent,studio,0,1,47,44000,936,true,balcony;concierge;kids_play_area;smart_home;study,24.31821,54.52324,2025-11-18,available,brokerage
LST-00111,Al Khalidiyah,Al Khalidiyah Park,sale,villa,3,2,520,8999000,17306,false,beach_access;kids_play_area;maids_room;shared_garden;smart_home,24.47656,54.34817,2025-06-03,available,brokerage
LST-00112,Yas Island,Yas Island Bay,rent,studio,0,1,29,38000,1310,false,balcony;concierge;kids_play_area;maids_room;pool;study,24.50151,54.62059,2026-04-23,let,developer_direct
LST-00113,Yas Island,Yas Island Bay,rent,studio,0,1,28,33000,1179,true,covered_parking;pool;smart_home,24.47814,54.61653,2026-04-29,available,brokerage
LST-00114,Al Zahiyah,Al Zahiyah Square,sale,apartment,4,5,114,1536000,13474,true,balcony;built_in_wardrobes;covered_parking;ev_charger;pool,24.48869,54.35201,2025-10-24,available,brokerage
LST-00115,Al Ghadeer,Al Ghadeer Views,rent,studio,0,1,46,33000,717,false,balcony;central_ac;covered_parking;gym;kids_play_area,24.28686,54.79223,2026-02-26,let,developer_direct
LST-00116,Danet Abu Dhabi,Danet Abu Dhabi Gardens,sale,studio,0,1,36,635000,17639,false,balcony;built_in_wardrobes;concierge;security_24h;shared_garden,24.44212,54.38196,2026-03-02,sold,developer_direct
LST-00117,Danet Abu Dhabi,Danet Abu Dhabi Heights,rent,villa,3,3,260,194000,746,false,beach_access;concierge;gym;security_24h;shared_garden;smart_home,24.42614,54.39992,2026-04-17,available,developer_direct
LST-00118,Mohammed Bin Zayed City,Mohammed Bin Zayed City Commons,rent,apartment,1,1,235,119000,506,false,built_in_wardrobes;central_ac;concierge;ev_charger;kids_play_area;pool,24.31224,54.51935,2026-01-21,available,developer_direct
LST-00119,Zayed City,Zayed City Bay,rent,apartment,2,2,201,127000,632,true,beach_access;built_in_wardrobes;covered_parking;kids_play_area;pool;security_24h,24.31679,54.53058,2026-05-06,let,developer_direct
LST-00120,Al Shamkha,Al Shamkha Bay,sale,studio,0,1,37,356000,9622,false,central_ac;covered_parking;pool;security_24h;smart_home;study,24.34221,54.74052,2025-07-15,sold,brokerage
LST-00121,Al Ghadeer,Al Ghadeer Quarter,rent,townhouse,4,4,216,134000,620,false,beach_access;central_ac;covered_parking;gym;smart_home,24.29552,54.80096,2026-02-05,let,brokerage
LST-00122,Al Ghadeer,Al Ghadeer Views,rent,apartment,2,1,212,161000,759,true,balcony;concierge;covered_parking;ev_charger;smart_home;study,24.28495,54.77477,2025-11-23,under_offer,private_owner
LST-00123,Al Reef,Al Reef Views,rent,apartment,3,4,222,143000,644,false,covered_parking;kids_play_area,24.42111,54.6847,2025-08-08,available,brokerage
LST-00124,Mohammed Bin Zayed City,Mohammed Bin Zayed City Gardens,rent,studio,0,1,44,31000,705,false,central_ac;gym;kids_play_area;maids_room;shared_garden,24.31875,54.54348,2025-07-01,available,brokerage
LST-00125,Danet Abu Dhabi,Danet Abu Dhabi Heights,rent,apartment,4,4,66,55000,833,false,built_in_wardrobes;covered_parking;ev_charger;kids_play_area;pool;shared_garden,24.42984,54.38928,2026-01-15,under_offer,developer_direct
LST-00126,Masdar City,Masdar City Bay,rent,studio,0,1,38,39000,1026,true,balcony;beach_access;central_ac;concierge;smart_home,24.44779,54.62992,2025-12-27,under_offer,private_owner
LST-00127,Corniche,Corniche Commons,rent,villa,3,3,561,637000,1135,false,built_in_wardrobes;central_ac;concierge;study,24.45665,54.34419,2026-04-14,available,brokerage
LST-00128,Khalifa City,Khalifa City Bay,rent,apartment,2,3,205,114000,556,true,beach_access;built_in_wardrobes;gym;shared_garden,24.43565,54.56257,2025-12-22,available,developer_direct
LST-00129,Al Bahia,Al Bahia Bay,sale,villa,3,2,609,4971000,8163,false,built_in_wardrobes;concierge;gym;kids_play_area;pool;security_24h,24.53239,54.67664,2025-06-19,sold,brokerage
LST-00130,Al Zahiyah,Al Zahiyah Park,rent,apartment,2,1,177,158000,893,false,built_in_wardrobes;maids_room;study,24.50737,54.37287,2025-09-12,under_offer,developer_direct
LST-00131,Al Ghadeer,Al Ghadeer Quarter,rent,studio,0,1,30,18000,600,false,balcony;central_ac;gym;kids_play_area;maids_room,24.31666,54.79203,2025-07-14,available,brokerage
LST-00132,Danet Abu Dhabi,Danet Abu Dhabi Residences,rent,penthouse,4,4,251,390000,1554,false,beach_access;built_in_wardrobes;central_ac;ev_charger;maids_room;smart_home,24.42642,54.406,2026-02-05,under_offer,private_owner
LST-00133,Khalifa City,Khalifa City Heights,sale,villa,3,4,376,4539000,12072,false,beach_access;concierge;covered_parking;security_24h;smart_home;study,24.42203,54.56059,2025-11-05,available,developer_direct
LST-00134,Danet Abu Dhabi,Danet Abu Dhabi Residences,sale,apartment,1,1,90,1096000,12178,false,balcony;central_ac;ev_charger;gym;study,24.43723,54.40492,2025-11-05,available,private_owner
LST-00135,Al Maryah Island,Al Maryah Island Residences,rent,apartment,2,1,210,308000,1467,false,balcony;beach_access;built_in_wardrobes;concierge;shared_garden,24.50553,54.39917,2026-04-07,under_offer,brokerage
LST-00136,Al Reef,Al Reef Gardens,sale,apartment,2,1,133,1185000,8910,true,built_in_wardrobes;smart_home,24.43864,54.68704,2026-03-18,under_offer,brokerage
LST-00137,Saadiyat Island,Saadiyat Island Gardens,sale,villa,6,6,394,10212000,25919,false,balcony;beach_access;concierge;kids_play_area;pool,24.53126,54.42391,2025-12-09,available,developer_direct
LST-00138,Al Zahiyah,Al Zahiyah Bay,rent,studio,0,1,48,27000,562,false,concierge;pool;study,24.47669,54.37394,2025-10-04,under_offer,brokerage
LST-00139,Mussafah,Mussafah Square,sale,studio,0,1,30,192000,6400,false,balcony;concierge,24.34457,54.48249,2025-12-29,available,private_owner
LST-00140,Al Maqta,Al Maqta Square,sale,apartment,3,3,147,1545000,10510,true,beach_access;concierge;gym;smart_home;study,24.40663,54.4909,2025-10-05,sold,brokerage
LST-00141,Danet Abu Dhabi,Danet Abu Dhabi Commons,sale,villa,6,6,339,4421000,13041,true,balcony;pool;security_24h;smart_home,24.41631,54.37554,2026-04-12,sold,developer_direct
LST-00142,Khalifa City,Khalifa City Commons,rent,townhouse,5,5,253,214000,846,true,ev_charger;maids_room;smart_home,24.41222,54.60128,2026-01-03,let,developer_direct
LST-00143,Al Zahiyah,Al Zahiyah Bay,rent,penthouse,5,6,390,405000,1038,false,concierge;gym;maids_room,24.5006,54.38165,2026-04-15,let,developer_direct
LST-00144,Al Maryah Island,Al Maryah Island Commons,rent,apartment,1,1,62,76000,1226,false,maids_room;security_24h,24.48774,54.40199,2026-05-29,available,brokerage
LST-00145,Khalifa City,Khalifa City Heights,rent,studio,0,1,46,32000,696,false,built_in_wardrobes;gym;security_24h;shared_garden;smart_home;study,24.40228,54.56622,2025-08-09,let,brokerage
LST-00146,Mussafah,Mussafah Bay,rent,villa,5,5,332,181000,545,true,central_ac;concierge;security_24h,24.33895,54.51319,2025-06-10,let,brokerage
LST-00147,Saadiyat Island,Saadiyat Island Residences,sale,townhouse,2,2,352,6237000,17719,false,beach_access;concierge;maids_room;security_24h;shared_garden;study,24.53817,54.42694,2025-11-13,available,developer_direct
LST-00148,Al Zahiyah,Al Zahiyah Quarter,rent,villa,3,3,562,557000,991,true,balcony;beach_access;ev_charger;smart_home,24.50424,54.36399,2025-11-27,under_offer,developer_direct
LST-00149,Danet Abu Dhabi,Danet Abu Dhabi Bay,sale,apartment,3,3,84,796000,9476,false,central_ac;kids_play_area,24.44192,54.38997,2025-08-10,under_offer,brokerage
LST-00150,Al Reef,Al Reef Commons,rent,villa,7,6,716,498000,696,true,central_ac;gym;maids_room;pool;study,24.43566,54.69455,2025-09-05,let,brokerage
